Year of Year Date,Adjusted for Inflation Notes,Adjusted for Inflation Title,Format,Metric,Year,Value (For Charting),Adjusted for Inflation Flag,Year Date,Format Value # (Billion),Format Value # (Million),Number of Records,Total Value # (Billion),Total Value # (Million),Total Value For Year,Value (Actual),Year (copy)
1999,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),1999,1629.084460984," (adjusted for inflation, 2019 dollars)",1999,$1.6B,,1,$22.4B,,$22381.0B,1629.084460984,1999
2000,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),2000,929.391881533," (adjusted for inflation, 2019 dollars)",2000,,$929.4M,1,$21.3B,,$21265.7B,929.391881533,2000
2001,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),2001,524.594883117," (adjusted for inflation, 2019 dollars)",2001,,$524.6M,1,$19.8B,,$19843.7B,524.594883117,2001
2002,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),2002,298.148074486," (adjusted for inflation, 2019 dollars)",2002,,$298.1M,1,$17.9B,,$17928.4B,298.148074486,2002
2003,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),2003,150.1984875," (adjusted for inflation, 2019 dollars)",2003,,$150.2M,1,$16.5B,,$16471.0B,150.1984875,2003
2004,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),2004,32.075547380," (adjusted for inflation, 2019 dollars)",2004,,$32.1M,1,$16.7B,,$16707.8B,32.075547380,2004
2005,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),2005,17.148523810," (adjusted for inflation, 2019 dollars)",2005,,$17.1M,1,$16.1B,,$16088.1B,17.148523810,2005
2006,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),2006,4.692117560," (adjusted for inflation, 2019 dollars)",2006,,$4.7M,1,$14.9B,,$14912.7B,4.692117560,2006
2007,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),2007,3.699811867," (adjusted for inflation, 2019 dollars)",2007,,$3.7M,1,$13.1B,,$13135.4B,3.699811867,2007
2008,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette,Value (Adjusted),2008,1.068685991," (adjusted for inflation, 2019 dollars)",2008,,$1.1M,1,$10.4B,,$10421.8B,1.068685991,2008
1987,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette Single,Value (Adjusted),1987,32.182175176," (adjusted for inflation, 2019 dollars)",1987,,$32.2M,1,$12.5B,,$12521.8B,32.182175176,1987
1988,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette Single,Value (Adjusted),1988,123.830482671," (adjusted for inflation, 2019 dollars)",1988,,$123.8M,1,$13.5B,,$13517.0B,123.830482671,1988
1989,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette Single,Value (Adjusted),1989,401.21655," (adjusted for inflation, 2019 dollars)",1989,,$401.2M,1,$13.6B,,$13566.7B,401.21655,1989
1990,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette Single,Value (Adjusted),1990,504.467791125," (adjusted for inflation, 2019 dollars)",1990,,$504.5M,1,$14.8B,,$14750.8B,504.467791125,1990
1991,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette Single,Value (Adjusted),1991,432.477039648," (adjusted for inflation, 2019 dollars)",1991,,$432.5M,1,$14.7B,,$14705.3B,432.477039648,1991
1992,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette Single,Value (Adjusted),1992,544.478343550," (adjusted for inflation, 2019 dollars)",1992,,$544.5M,1,$16.4B,,$16443.7B,544.478343550,1992
1993,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette Single,Value (Adjusted),1993,528.121899654," (adjusted for inflation, 2019 dollars)",1993,,$528.1M,1,$17.8B,,$17775.0B,528.121899654,1993
1994,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette Single,Value (Adjusted),1994,474.224759109," (adjusted for inflation, 2019 dollars)",1994,,$474.2M,1,$20.8B,,$20818.3B,474.224759109,1994
1995,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette Single,Value (Adjusted),1995,396.402553150," (adjusted for inflation, 2019 dollars)",1995,,$396.4M,1,$20.7B,,$20667.8B,396.402553150,1995
1996,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette Single,Value (Adjusted),1996,308.450414914," (adjusted for inflation, 2019 dollars)",1996,,$308.5M,1,$20.4B,,$20422.9B,308.450414914,1996
1997,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette Single,Value (Adjusted),1997,212.649280374," (adjusted for inflation, 2019 dollars)",1997,,$212.6M,1,$19.5B,,$19491.7B,212.649280374,1997
1998,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Cassette Single,Value (Adjusted),1998,148.061477301," (adjusted for inflation, 2019 dollars)",1998,,$148.1M,1,$21.5B,,$21505.3B,148.061477301,1998
